interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-05T12:30:00-06:00,2025-01-05 18:30:00+00:00,2025-01-05T12:45:00-06:00,2025-01-05 18:45:00+00:00,SBEAN_BESS,-2.45
2025-01-05T12:45:00-06:00,2025-01-05 18:45:00+00:00,2025-01-05T13:00:00-06:00,2025-01-05 19:00:00+00:00,SBEAN_BESS,-2.37
2025-01-05T13:00:00-06:00,2025-01-05 19:00:00+00:00,2025-01-05T13:15:00-06:00,2025-01-05 19:15:00+00:00,SBEAN_BESS,-2.03
2025-01-05T13:15:00-06:00,2025-01-05 19:15:00+00:00,2025-01-05T13:30:00-06:00,2025-01-05 19:30:00+00:00,SBEAN_BESS,-2.07
2025-01-05T13:30:00-06:00,2025-01-05 19:30:00+00:00,2025-01-05T13:45:00-06:00,2025-01-05 19:45:00+00:00,SBEAN_BESS,-2.1
2025-01-05T13:45:00-06:00,2025-01-05 19:45:00+00:00,2025-01-05T14:00:00-06:00,2025-01-05 20:00:00+00:00,SBEAN_BESS,-2.17
2025-01-05T14:00:00-06:00,2025-01-05 20:00:00+00:00,2025-01-05T14:15:00-06:00,2025-01-05 20:15:00+00:00,SBEAN_BESS,-2.1
2025-01-05T14:15:00-06:00,2025-01-05 20:15:00+00:00,2025-01-05T14:30:00-06:00,2025-01-05 20:30:00+00:00,SBEAN_BESS,-2.8
2025-01-05T14:30:00-06:00,2025-01-05 20:30:00+00:00,2025-01-05T14:45:00-06:00,2025-01-05 20:45:00+00:00,SBEAN_BESS,-2.09
2025-01-05T14:45:00-06:00,2025-01-05 20:45:00+00:00,2025-01-05T15:00:00-06:00,2025-01-05 21:00:00+00:00,SBEAN_BESS,-2.37
2025-01-05T15:00:00-06:00,2025-01-05 21:00:00+00:00,2025-01-05T15:15:00-06:00,2025-01-05 21:15:00+00:00,SBEAN_BESS,-3.16
2025-01-05T15:15:00-06:00,2025-01-05 21:15:00+00:00,2025-01-05T15:30:00-06:00,2025-01-05 21:30:00+00:00,SBEAN_BESS,-3.64
2025-01-05T15:30:00-06:00,2025-01-05 21:30:00+00:00,2025-01-05T15:45:00-06:00,2025-01-05 21:45:00+00:00,SBEAN_BESS,-3
2025-01-05T15:45:00-06:00,2025-01-05 21:45:00+00:00,2025-01-05T16:00:00-06:00,2025-01-05 22:00:00+00:00,SBEAN_BESS,-7.19
2025-01-05T16:00:00-06:00,2025-01-05 22:00:00+00:00,2025-01-05T16:15:00-06:00,2025-01-05 22:15:00+00:00,SBEAN_BESS,-8.32
2025-01-05T16:15:00-06:00,2025-01-05 22:15:00+00:00,2025-01-05T16:30:00-06:00,2025-01-05 22:30:00+00:00,SBEAN_BESS,-3.54
2025-01-05T16:30:00-06:00,2025-01-05 22:30:00+00:00,2025-01-05T16:45:00-06:00,2025-01-05 22:45:00+00:00,SBEAN_BESS,-3.19
2025-01-05T16:45:00-06:00,2025-01-05 22:45:00+00:00,2025-01-05T17:00:00-06:00,2025-01-05 23:00:00+00:00,SBEAN_BESS,-1.85
2025-01-05T17:00:00-06:00,2025-01-05 23:00:00+00:00,2025-01-05T17:15:00-06:00,2025-01-05 23:15:00+00:00,SBEAN_BESS,-1.12
2025-01-05T17:15:00-06:00,2025-01-05 23:15:00+00:00,2025-01-05T17:30:00-06:00,2025-01-05 23:30:00+00:00,SBEAN_BESS,0.69
2025-01-05T17:30:00-06:00,2025-01-05 23:30:00+00:00,2025-01-05T17:45:00-06:00,2025-01-05 23:45:00+00:00,SBEAN_BESS,17.19
2025-01-05T17:45:00-06:00,2025-01-05 23:45:00+00:00,2025-01-05T18:00:00-06:00,2025-01-06 00:00:00+00:00,SBEAN_BESS,18.37
2025-01-05T18:00:00-06:00,2025-01-06 00:00:00+00:00,2025-01-05T18:15:00-06:00,2025-01-06 00:15:00+00:00,SBEAN_BESS,18.71
2025-01-05T18:15:00-06:00,2025-01-06 00:15:00+00:00,2025-01-05T18:30:00-06:00,2025-01-06 00:30:00+00:00,SBEAN_BESS,25.9
2025-01-05T18:30:00-06:00,2025-01-06 00:30:00+00:00,2025-01-05T18:45:00-06:00,2025-01-06 00:45:00+00:00,SBEAN_BESS,45.31
2025-01-05T18:45:00-06:00,2025-01-06 00:45:00+00:00,2025-01-05T19:00:00-06:00,2025-01-06 01:00:00+00:00,SBEAN_BESS,48.64
2025-01-05T19:00:00-06:00,2025-01-06 01:00:00+00:00,2025-01-05T19:15:00-06:00,2025-01-06 01:15:00+00:00,SBEAN_BESS,50.17
2025-01-05T19:15:00-06:00,2025-01-06 01:15:00+00:00,2025-01-05T19:30:00-06:00,2025-01-06 01:30:00+00:00,SBEAN_BESS,48.63
2025-01-05T19:30:00-06:00,2025-01-06 01:30:00+00:00,2025-01-05T19:45:00-06:00,2025-01-06 01:45:00+00:00,SBEAN_BESS,48.61
2025-01-05T19:45:00-06:00,2025-01-06 01:45:00+00:00,2025-01-05T20:00:00-06:00,2025-01-06 02:00:00+00:00,SBEAN_BESS,48.62
2025-01-05T20:00:00-06:00,2025-01-06 02:00:00+00:00,2025-01-05T20:15:00-06:00,2025-01-06 02:15:00+00:00,SBEAN_BESS,17.74
2025-01-05T20:15:00-06:00,2025-01-06 02:15:00+00:00,2025-01-05T20:30:00-06:00,2025-01-06 02:30:00+00:00,SBEAN_BESS,17.86
2025-01-05T20:30:00-06:00,2025-01-06 02:30:00+00:00,2025-01-05T20:45:00-06:00,2025-01-06 02:45:00+00:00,SBEAN_BESS,17.66
2025-01-05T20:45:00-06:00,2025-01-06 02:45:00+00:00,2025-01-05T21:00:00-06:00,2025-01-06 03:00:00+00:00,SBEAN_BESS,17.96
2025-01-05T21:00:00-06:00,2025-01-06 03:00:00+00:00,2025-01-05T21:15:00-06:00,2025-01-06 03:15:00+00:00,SBEAN_BESS,17.66
2025-01-05T21:15:00-06:00,2025-01-06 03:15:00+00:00,2025-01-05T21:30:00-06:00,2025-01-06 03:30:00+00:00,SBEAN_BESS,17.99
2025-01-05T21:30:00-06:00,2025-01-06 03:30:00+00:00,2025-01-05T21:45:00-06:00,2025-01-06 03:45:00+00:00,SBEAN_BESS,19.74
2025-01-05T21:45:00-06:00,2025-01-06 03:45:00+00:00,2025-01-05T22:00:00-06:00,2025-01-06 04:00:00+00:00,SBEAN_BESS,26.78
2025-01-05T22:00:00-06:00,2025-01-06 04:00:00+00:00,2025-01-05T22:15:00-06:00,2025-01-06 04:15:00+00:00,SBEAN_BESS,23.75
2025-01-05T22:15:00-06:00,2025-01-06 04:15:00+00:00,2025-01-05T22:30:00-06:00,2025-01-06 04:30:00+00:00,SBEAN_BESS,21.66
2025-01-05T22:30:00-06:00,2025-01-06 04:30:00+00:00,2025-01-05T22:45:00-06:00,2025-01-06 04:45:00+00:00,SBEAN_BESS,20.33
2025-01-05T22:45:00-06:00,2025-01-06 04:45:00+00:00,2025-01-05T23:00:00-06:00,2025-01-06 05:00:00+00:00,SBEAN_BESS,20.65
2025-01-05T23:00:00-06:00,2025-01-06 05:00:00+00:00,2025-01-05T23:15:00-06:00,2025-01-06 05:15:00+00:00,SBEAN_BESS,20.32
2025-01-05T23:15:00-06:00,2025-01-06 05:15:00+00:00,2025-01-05T23:30:00-06:00,2025-01-06 05:30:00+00:00,SBEAN_BESS,20.8
2025-01-05T23:30:00-06:00,2025-01-06 05:30:00+00:00,2025-01-05T23:45:00-06:00,2025-01-06 05:45:00+00:00,SBEAN_BESS,22.06
2025-01-05T23:45:00-06:00,2025-01-06 05:45:00+00:00,2025-01-06T00:00:00-06:00,2025-01-06 06:00:00+00:00,SBEAN_BESS,33.96
2025-01-06T00:00:00-06:00,2025-01-06 06:00:00+00:00,2025-01-06T00:15:00-06:00,2025-01-06 06:15:00+00:00,SBEAN_BESS,39.92
2025-01-06T00:15:00-06:00,2025-01-06 06:15:00+00:00,2025-01-06T00:30:00-06:00,2025-01-06 06:30:00+00:00,SBEAN_BESS,30
2025-01-06T00:30:00-06:00,2025-01-06 06:30:00+00:00,2025-01-06T00:45:00-06:00,2025-01-06 06:45:00+00:00,SBEAN_BESS,43.38
2025-01-06T00:45:00-06:00,2025-01-06 06:45:00+00:00,2025-01-06T01:00:00-06:00,2025-01-06 07:00:00+00:00,SBEAN_BESS,47.6
2025-01-06T01:00:00-06:00,2025-01-06 07:00:00+00:00,2025-01-06T01:15:00-06:00,2025-01-06 07:15:00+00:00,SBEAN_BESS,45.54
2025-01-06T01:15:00-06:00,2025-01-06 07:15:00+00:00,2025-01-06T01:30:00-06:00,2025-01-06 07:30:00+00:00,SBEAN_BESS,44.76
2025-01-06T01:30:00-06:00,2025-01-06 07:30:00+00:00,2025-01-06T01:45:00-06:00,2025-01-06 07:45:00+00:00,SBEAN_BESS,45.16
2025-01-06T01:45:00-06:00,2025-01-06 07:45:00+00:00,2025-01-06T02:00:00-06:00,2025-01-06 08:00:00+00:00,SBEAN_BESS,44.85
2025-01-06T02:00:00-06:00,2025-01-06 08:00:00+00:00,2025-01-06T02:15:00-06:00,2025-01-06 08:15:00+00:00,SBEAN_BESS,45.51
2025-01-06T02:15:00-06:00,2025-01-06 08:15:00+00:00,2025-01-06T02:30:00-06:00,2025-01-06 08:30:00+00:00,SBEAN_BESS,49.49
2025-01-06T02:30:00-06:00,2025-01-06 08:30:00+00:00,2025-01-06T02:45:00-06:00,2025-01-06 08:45:00+00:00,SBEAN_BESS,55.48
2025-01-06T02:45:00-06:00,2025-01-06 08:45:00+00:00,2025-01-06T03:00:00-06:00,2025-01-06 09:00:00+00:00,SBEAN_BESS,61.29
