interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-07-08T13:00:00-05:00,2025-07-08 18:00:00+00:00,2025-07-08T14:00:00-05:00,2025-07-08 19:00:00+00:00,SBEAN_BESS,30.8
2025-07-08T14:00:00-05:00,2025-07-08 19:00:00+00:00,2025-07-08T15:00:00-05:00,2025-07-08 20:00:00+00:00,SBEAN_BESS,33.56
2025-07-08T15:00:00-05:00,2025-07-08 20:00:00+00:00,2025-07-08T16:00:00-05:00,2025-07-08 21:00:00+00:00,SBEAN_BESS,33.78
2025-07-08T16:00:00-05:00,2025-07-08 21:00:00+00:00,2025-07-08T17:00:00-05:00,2025-07-08 22:00:00+00:00,SBEAN_BESS,37.58
2025-07-08T17:00:00-05:00,2025-07-08 22:00:00+00:00,2025-07-08T18:00:00-05:00,2025-07-08 23:00:00+00:00,SBEAN_BESS,37.06
2025-07-08T18:00:00-05:00,2025-07-08 23:00:00+00:00,2025-07-08T19:00:00-05:00,2025-07-09 00:00:00+00:00,SBEAN_BESS,41.74
2025-07-08T19:00:00-05:00,2025-07-09 00:00:00+00:00,2025-07-08T20:00:00-05:00,2025-07-09 01:00:00+00:00,SBEAN_BESS,63.3
2025-07-08T20:00:00-05:00,2025-07-09 01:00:00+00:00,2025-07-08T21:00:00-05:00,2025-07-09 02:00:00+00:00,SBEAN_BESS,81.02
2025-07-08T21:00:00-05:00,2025-07-09 02:00:00+00:00,2025-07-08T22:00:00-05:00,2025-07-09 03:00:00+00:00,SBEAN_BESS,60.02
2025-07-08T22:00:00-05:00,2025-07-09 03:00:00+00:00,2025-07-08T23:00:00-05:00,2025-07-09 04:00:00+00:00,SBEAN_BESS,54.48
2025-07-08T23:00:00-05:00,2025-07-09 04:00:00+00:00,2025-07-09T00:00:00-05:00,2025-07-09 05:00:00+00:00,SBEAN_BESS,50.82
2025-07-09T00:00:00-05:00,2025-07-09 05:00:00+00:00,2025-07-09T01:00:00-05:00,2025-07-09 06:00:00+00:00,SBEAN_BESS,49.36
2025-07-09T01:00:00-05:00,2025-07-09 06:00:00+00:00,2025-07-09T02:00:00-05:00,2025-07-09 07:00:00+00:00,SBEAN_BESS,53.38
2025-07-09T02:00:00-05:00,2025-07-09 07:00:00+00:00,2025-07-09T03:00:00-05:00,2025-07-09 08:00:00+00:00,SBEAN_BESS,54.02
2025-07-09T03:00:00-05:00,2025-07-09 08:00:00+00:00,2025-07-09T04:00:00-05:00,2025-07-09 09:00:00+00:00,SBEAN_BESS,53.26
2025-07-09T04:00:00-05:00,2025-07-09 09:00:00+00:00,2025-07-09T05:00:00-05:00,2025-07-09 10:00:00+00:00,SBEAN_BESS,58.96
2025-07-09T05:00:00-05:00,2025-07-09 10:00:00+00:00,2025-07-09T06:00:00-05:00,2025-07-09 11:00:00+00:00,SBEAN_BESS,62.42
2025-07-09T06:00:00-05:00,2025-07-09 11:00:00+00:00,2025-07-09T07:00:00-05:00,2025-07-09 12:00:00+00:00,SBEAN_BESS,59.37
2025-07-09T07:00:00-05:00,2025-07-09 12:00:00+00:00,2025-07-09T08:00:00-05:00,2025-07-09 13:00:00+00:00,SBEAN_BESS,39.88
2025-07-09T08:00:00-05:00,2025-07-09 13:00:00+00:00,2025-07-09T09:00:00-05:00,2025-07-09 14:00:00+00:00,SBEAN_BESS,21.95
2025-07-09T09:00:00-05:00,2025-07-09 14:00:00+00:00,2025-07-09T10:00:00-05:00,2025-07-09 15:00:00+00:00,SBEAN_BESS,21.89
2025-07-09T10:00:00-05:00,2025-07-09 15:00:00+00:00,2025-07-09T11:00:00-05:00,2025-07-09 16:00:00+00:00,SBEAN_BESS,22.65
2025-07-09T11:00:00-05:00,2025-07-09 16:00:00+00:00,2025-07-09T12:00:00-05:00,2025-07-09 17:00:00+00:00,SBEAN_BESS,24.85
2025-07-09T12:00:00-05:00,2025-07-09 17:00:00+00:00,2025-07-09T13:00:00-05:00,2025-07-09 18:00:00+00:00,SBEAN_BESS,30.17
2025-07-09T13:00:00-05:00,2025-07-09 18:00:00+00:00,2025-07-09T14:00:00-05:00,2025-07-09 19:00:00+00:00,SBEAN_BESS,33.07
2025-07-09T14:00:00-05:00,2025-07-09 19:00:00+00:00,2025-07-09T15:00:00-05:00,2025-07-09 20:00:00+00:00,SBEAN_BESS,33.12
2025-07-09T15:00:00-05:00,2025-07-09 20:00:00+00:00,2025-07-09T16:00:00-05:00,2025-07-09 21:00:00+00:00,SBEAN_BESS,36.4
2025-07-09T16:00:00-05:00,2025-07-09 21:00:00+00:00,2025-07-09T17:00:00-05:00,2025-07-09 22:00:00+00:00,SBEAN_BESS,36.01
2025-07-09T17:00:00-05:00,2025-07-09 22:00:00+00:00,2025-07-09T18:00:00-05:00,2025-07-09 23:00:00+00:00,SBEAN_BESS,36.42
2025-07-09T18:00:00-05:00,2025-07-09 23:00:00+00:00,2025-07-09T19:00:00-05:00,2025-07-10 00:00:00+00:00,SBEAN_BESS,42.18
2025-07-09T19:00:00-05:00,2025-07-10 00:00:00+00:00,2025-07-09T20:00:00-05:00,2025-07-10 01:00:00+00:00,SBEAN_BESS,58.65
2025-07-09T20:00:00-05:00,2025-07-10 01:00:00+00:00,2025-07-09T21:00:00-05:00,2025-07-10 02:00:00+00:00,SBEAN_BESS,66.89
2025-07-09T21:00:00-05:00,2025-07-10 02:00:00+00:00,2025-07-09T22:00:00-05:00,2025-07-10 03:00:00+00:00,SBEAN_BESS,66.65
2025-07-09T22:00:00-05:00,2025-07-10 03:00:00+00:00,2025-07-09T23:00:00-05:00,2025-07-10 04:00:00+00:00,SBEAN_BESS,66.65
2025-07-09T23:00:00-05:00,2025-07-10 04:00:00+00:00,2025-07-10T00:00:00-05:00,2025-07-10 05:00:00+00:00,SBEAN_BESS,59.06
2025-07-10T00:00:00-05:00,2025-07-10 05:00:00+00:00,2025-07-10T01:00:00-05:00,2025-07-10 06:00:00+00:00,SBEAN_BESS,55.16
2025-07-10T01:00:00-05:00,2025-07-10 06:00:00+00:00,2025-07-10T02:00:00-05:00,2025-07-10 07:00:00+00:00,SBEAN_BESS,52.29
2025-07-10T02:00:00-05:00,2025-07-10 07:00:00+00:00,2025-07-10T03:00:00-05:00,2025-07-10 08:00:00+00:00,SBEAN_BESS,53.19
2025-07-10T03:00:00-05:00,2025-07-10 08:00:00+00:00,2025-07-10T04:00:00-05:00,2025-07-10 09:00:00+00:00,SBEAN_BESS,56.15
2025-07-10T04:00:00-05:00,2025-07-10 09:00:00+00:00,2025-07-10T05:00:00-05:00,2025-07-10 10:00:00+00:00,SBEAN_BESS,50.11
2025-07-10T05:00:00-05:00,2025-07-10 10:00:00+00:00,2025-07-10T06:00:00-05:00,2025-07-10 11:00:00+00:00,SBEAN_BESS,49.34
2025-07-10T06:00:00-05:00,2025-07-10 11:00:00+00:00,2025-07-10T07:00:00-05:00,2025-07-10 12:00:00+00:00,SBEAN_BESS,49.65
2025-07-10T07:00:00-05:00,2025-07-10 12:00:00+00:00,2025-07-10T08:00:00-05:00,2025-07-10 13:00:00+00:00,SBEAN_BESS,27.94
2025-07-10T08:00:00-05:00,2025-07-10 13:00:00+00:00,2025-07-10T09:00:00-05:00,2025-07-10 14:00:00+00:00,SBEAN_BESS,17.7
2025-07-10T09:00:00-05:00,2025-07-10 14:00:00+00:00,2025-07-10T10:00:00-05:00,2025-07-10 15:00:00+00:00,SBEAN_BESS,15.75
2025-07-10T10:00:00-05:00,2025-07-10 15:00:00+00:00,2025-07-10T11:00:00-05:00,2025-07-10 16:00:00+00:00,SBEAN_BESS,17.89
2025-07-10T11:00:00-05:00,2025-07-10 16:00:00+00:00,2025-07-10T12:00:00-05:00,2025-07-10 17:00:00+00:00,SBEAN_BESS,20.21
2025-07-10T12:00:00-05:00,2025-07-10 17:00:00+00:00,2025-07-10T13:00:00-05:00,2025-07-10 18:00:00+00:00,SBEAN_BESS,22.14
2025-07-10T13:00:00-05:00,2025-07-10 18:00:00+00:00,2025-07-10T14:00:00-05:00,2025-07-10 19:00:00+00:00,SBEAN_BESS,23.95
2025-07-10T14:00:00-05:00,2025-07-10 19:00:00+00:00,2025-07-10T15:00:00-05:00,2025-07-10 20:00:00+00:00,SBEAN_BESS,22.58
2025-07-10T15:00:00-05:00,2025-07-10 20:00:00+00:00,2025-07-10T16:00:00-05:00,2025-07-10 21:00:00+00:00,SBEAN_BESS,22.68
2025-07-10T16:00:00-05:00,2025-07-10 21:00:00+00:00,2025-07-10T17:00:00-05:00,2025-07-10 22:00:00+00:00,SBEAN_BESS,20.61
2025-07-10T17:00:00-05:00,2025-07-10 22:00:00+00:00,2025-07-10T18:00:00-05:00,2025-07-10 23:00:00+00:00,SBEAN_BESS,19.76
2025-07-10T18:00:00-05:00,2025-07-10 23:00:00+00:00,2025-07-10T19:00:00-05:00,2025-07-11 00:00:00+00:00,SBEAN_BESS,21.0
2025-07-10T19:00:00-05:00,2025-07-11 00:00:00+00:00,2025-07-10T20:00:00-05:00,2025-07-11 01:00:00+00:00,SBEAN_BESS,46.39
2025-07-10T20:00:00-05:00,2025-07-11 01:00:00+00:00,2025-07-10T21:00:00-05:00,2025-07-11 02:00:00+00:00,SBEAN_BESS,69.42
2025-07-10T21:00:00-05:00,2025-07-11 02:00:00+00:00,2025-07-10T22:00:00-05:00,2025-07-11 03:00:00+00:00,SBEAN_BESS,70.11
2025-07-10T22:00:00-05:00,2025-07-11 03:00:00+00:00,2025-07-10T23:00:00-05:00,2025-07-11 04:00:00+00:00,SBEAN_BESS,62.34
2025-07-10T23:00:00-05:00,2025-07-11 04:00:00+00:00,2025-07-11T00:00:00-05:00,2025-07-11 05:00:00+00:00,SBEAN_BESS,60.27
2025-07-11T00:00:00-05:00,2025-07-11 05:00:00+00:00,2025-07-11T01:00:00-05:00,2025-07-11 06:00:00+00:00,SBEAN_BESS,55.61
2025-07-11T01:00:00-05:00,2025-07-11 06:00:00+00:00,2025-07-11T02:00:00-05:00,2025-07-11 07:00:00+00:00,SBEAN_BESS,47.35
2025-07-11T02:00:00-05:00,2025-07-11 07:00:00+00:00,2025-07-11T03:00:00-05:00,2025-07-11 08:00:00+00:00,SBEAN_BESS,42.39
2025-07-11T03:00:00-05:00,2025-07-11 08:00:00+00:00,2025-07-11T04:00:00-05:00,2025-07-11 09:00:00+00:00,SBEAN_BESS,41.9
2025-07-11T04:00:00-05:00,2025-07-11 09:00:00+00:00,2025-07-11T05:00:00-05:00,2025-07-11 10:00:00+00:00,SBEAN_BESS,42.06
2025-07-11T05:00:00-05:00,2025-07-11 10:00:00+00:00,2025-07-11T06:00:00-05:00,2025-07-11 11:00:00+00:00,SBEAN_BESS,43.4
2025-07-11T06:00:00-05:00,2025-07-11 11:00:00+00:00,2025-07-11T07:00:00-05:00,2025-07-11 12:00:00+00:00,SBEAN_BESS,40.45
2025-07-11T07:00:00-05:00,2025-07-11 12:00:00+00:00,2025-07-11T08:00:00-05:00,2025-07-11 13:00:00+00:00,SBEAN_BESS,24.53
2025-07-11T08:00:00-05:00,2025-07-11 13:00:00+00:00,2025-07-11T09:00:00-05:00,2025-07-11 14:00:00+00:00,SBEAN_BESS,14.45
2025-07-11T09:00:00-05:00,2025-07-11 14:00:00+00:00,2025-07-11T10:00:00-05:00,2025-07-11 15:00:00+00:00,SBEAN_BESS,6.64
2025-07-11T10:00:00-05:00,2025-07-11 15:00:00+00:00,2025-07-11T11:00:00-05:00,2025-07-11 16:00:00+00:00,SBEAN_BESS,7.72
2025-07-11T11:00:00-05:00,2025-07-11 16:00:00+00:00,2025-07-11T12:00:00-05:00,2025-07-11 17:00:00+00:00,SBEAN_BESS,6.28
2025-07-11T12:00:00-05:00,2025-07-11 17:00:00+00:00,2025-07-11T13:00:00-05:00,2025-07-11 18:00:00+00:00,SBEAN_BESS,5.19
2025-07-11T13:00:00-05:00,2025-07-11 18:00:00+00:00,2025-07-11T14:00:00-05:00,2025-07-11 19:00:00+00:00,SBEAN_BESS,6.66
2025-07-11T14:00:00-05:00,2025-07-11 19:00:00+00:00,2025-07-11T15:00:00-05:00,2025-07-11 20:00:00+00:00,SBEAN_BESS,7.61
2025-07-11T15:00:00-05:00,2025-07-11 20:00:00+00:00,2025-07-11T16:00:00-05:00,2025-07-11 21:00:00+00:00,SBEAN_BESS,6.78
2025-07-11T16:00:00-05:00,2025-07-11 21:00:00+00:00,2025-07-11T17:00:00-05:00,2025-07-11 22:00:00+00:00,SBEAN_BESS,4.99
2025-07-11T17:00:00-05:00,2025-07-11 22:00:00+00:00,2025-07-11T18:00:00-05:00,2025-07-11 23:00:00+00:00,SBEAN_BESS,7.71
2025-07-11T18:00:00-05:00,2025-07-11 23:00:00+00:00,2025-07-11T19:00:00-05:00,2025-07-12 00:00:00+00:00,SBEAN_BESS,12.9
