interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2025-01-07T13:00:00-06:00,2025-01-07 19:00:00+00:00,2025-01-07T14:00:00-06:00,2025-01-07 20:00:00+00:00,SBEAN_BESS,22.83
2025-01-07T14:00:00-06:00,2025-01-07 20:00:00+00:00,2025-01-07T15:00:00-06:00,2025-01-07 21:00:00+00:00,SBEAN_BESS,20.93
2025-01-07T15:00:00-06:00,2025-01-07 21:00:00+00:00,2025-01-07T16:00:00-06:00,2025-01-07 22:00:00+00:00,SBEAN_BESS,18.86
2025-01-07T16:00:00-06:00,2025-01-07 22:00:00+00:00,2025-01-07T17:00:00-06:00,2025-01-07 23:00:00+00:00,SBEAN_BESS,24.26
2025-01-07T17:00:00-06:00,2025-01-07 23:00:00+00:00,2025-01-07T18:00:00-06:00,2025-01-08 00:00:00+00:00,SBEAN_BESS,38.03
2025-01-07T18:00:00-06:00,2025-01-08 00:00:00+00:00,2025-01-07T19:00:00-06:00,2025-01-08 01:00:00+00:00,SBEAN_BESS,44.27
2025-01-07T19:00:00-06:00,2025-01-08 01:00:00+00:00,2025-01-07T20:00:00-06:00,2025-01-08 02:00:00+00:00,SBEAN_BESS,43.19
2025-01-07T20:00:00-06:00,2025-01-08 02:00:00+00:00,2025-01-07T21:00:00-06:00,2025-01-08 03:00:00+00:00,SBEAN_BESS,42.21
2025-01-07T21:00:00-06:00,2025-01-08 03:00:00+00:00,2025-01-07T22:00:00-06:00,2025-01-08 04:00:00+00:00,SBEAN_BESS,41.09
2025-01-07T22:00:00-06:00,2025-01-08 04:00:00+00:00,2025-01-07T23:00:00-06:00,2025-01-08 05:00:00+00:00,SBEAN_BESS,38.9
2025-01-07T23:00:00-06:00,2025-01-08 05:00:00+00:00,2025-01-08T00:00:00-06:00,2025-01-08 06:00:00+00:00,SBEAN_BESS,40.44
2025-01-08T00:00:00-06:00,2025-01-08 06:00:00+00:00,2025-01-08T01:00:00-06:00,2025-01-08 07:00:00+00:00,SBEAN_BESS,47.54
